name,description,logo,product_types,sectors,city,website,hashtags,total_funding
LENGOW,"Lengow est une solution d’e-commerce automation répondant aux enjeux de performance, d’automatisation et d’internationalisation des marques et distributeurs sur internet en diffusant leur catalogue produits sur les places de marché, comparateurs de prix, plateformes d’affiliation et de retargeting, etc.

#ecommerce #retail #bigdata",https://upload.prd.hbd.cloud.bpifrance.fr/awsS3-assets/Startup_Logo/Byu5zP2Sz.jpg,"['Software', '', '', '', '', '', '', '', '', '']","['Software', '', '', '', '', '', '', '', '', '']",,http://www.lengow.com/,"['#E-Commerce', '#SaaS', '#Advertising', '#Product Search', '#professionnels', '#marketplaces', '#lengow', '#e-commerce']",
TEACH ON MARS,"Teach on Mars est un éditeur de logiciel proposant une technologie d’apprentissage mobile unique et entièrement native. Notre solution permet aux organisations de relier les apprenants aux contenus et aux communautés qu’il leur faut pour piloter leur développement professionnel et personnel.

#software #edtech",https://upload.prd.hbd.cloud.bpifrance.fr/awsS3-assets/Startup_Logo/H1PRQxqUM.png,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",,,['#learning'],
WEBLIB,"Weblib permet aux points de vente de se réinventer et de devenir plus performants grâce au digital

#hardware #iot #adtech",https://upload.prd.hbd.cloud.bpifrance.fr/ce19bcfb-d57b-4dde-92c3-9289e36eed72.png,"['Telecommunications', 'IT / Digital', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['Telecommunications', 'IT / Digital', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",,,"['#Search Engine', '#digital']",
VIEWPAY,"ViewPay, inventeur de l’ADVERTPAYMENT est propriétaire d’une technologie unique de diffusion de publicités vidéo sur web et mobile. Contenus payants ou premium sont débloqués en échange d’une attention consentie et choisie aux messages des annonceurs. Nous optimisons l’efficacité des campagnes Video On Line sur la visibilité, l’engagement et le ciblage.

#adtech",https://upload.prd.hbd.cloud.bpifrance.fr/43d6a2de-38b9-4f64-9308-c9aadad8e132.png,"['Marketing / Communication', 'Vente / Service Client', '', '', '', '', '', '', '', '']","['Marketing / Communication', 'Vente / Service Client', '', '', '', '', '', '', '', '']",,,"['#video', '#publishers', '#advertpayment']",
PREVISION.IO,"Prevision.io est une plateforme qui vous aide à prévoir le futur grâce à l'analyse de données et à l'utilisation d'algorithmes d'apprentissage automatique. Vous pouvez disposer de cette technologie sans aucune connaissance technique ou infrastructure préalable et construire des modèles prédictifs simplement grâce à vos données.

#bigdata #AI #Software",https://upload.prd.hbd.cloud.bpifrance.fr/awsS3-uploads/0840ff35403f2ad96af4de5e9af971f7,"['', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '']",,,[],
LumApps,"Plateforme SaaS dédiée à l’Expérience Collaborateur qui engage chaque employé à travers une communication personnalisée en toute langue, sur tout écran et quel que soit leur lieu de travail, en les connectant aux outils Métiers, aux personnes et aux infor",https://upload.prd.hbd.cloud.bpifrance.fr/00afa9e3-e364-4c89-9607-1a9f1a491464,"['', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '']",,https://www.lumapps.com/fr,[],
PARTICEEP,"Particeep est une fintech qui propose aux banques, assureurs, sociétés de gestion et à leurs distributeurs des solutions clés en main de commercialisation de leurs produits et services financiers.

Particeep propose une API Rest constituée de micro-services bancaires et d’assurances prêts à l’emploi et des solutions de distribution en ligne de services financiers en marque blanche.",https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/76078c50-c519-43df-87f8-93fc3f73f73d,"['Software', 'Finance', 'Transport / Logistique', '', '', '', '', '', '', '', '', '', '', '', '', '']","['Software', 'Finance', 'Transport / Logistique', '', '', '', '', '', '', '', '', '', '', '', '', '']",,,[],
WeNow,"Permet aux entreprises de réduire leur empreinte carbone en activant des solutions de mobilité durable, de formation des collaborateurs, de mesure du bilan carbone et de contribution climat.",https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/829c5576-75a6-48c1-be48-80730689dc2c,"['', '', '', '', '', '', '']","['', '', '', '', '', '', '']",,http://wenow.com/,"['#Climat', '# Mobilité Durable', '# Engagement collaborateurs', '# Contribution climat', '# Bilan Carbone']",
HELLOMYBOT.IO,"Intelligence Conversationnelle | Plateforme Saas de création d'agents conversationnels : Voicebots, Chatbots & Callbots (phonebots).
Une solution unique pour gérer votre Marketing Conversationnel.
#API #AI #software",https://upload.prd.hbd.cloud.bpifrance.fr/awsS3-uploads/9d67618da7733d80fec4b91de9bce7ee,"['Software', 'Marketing / Communication', 'Production / Maintenance', 'Vente / Service Client', '', '', '', '', '', '', '', '', '', '', '']","['Software', 'Marketing / Communication', 'Production / Maintenance', 'Vente / Service Client', '', '', '', '', '', '', '', '', '', '', '']",,,[],
WIZAPLACE,"Wizaplace est une solution Saas de création de marketplace tout-en-un.

#ecommerce #marketplace #software",https://upload.prd.hbd.cloud.bpifrance.fr/awsS3-uploads/4d2dc97649ed57356ad44a3ccc29b377,"['Software', 'Retail / E-Commerce', '', '', '', '', '', '']","['Software', 'Retail / E-Commerce', '', '', '', '', '', '']",,,[],
DCBrain,"Plateforme de modélisation et de suivi des flux et des réseaux (utilities, supply chain) qui permet de créer le jumeau numérique d’un système industriel et de proposer des optimisations de la performance d’exploitation (10-15%) , de détecter des anomalies",https://upload.prd.hbd.cloud.bpifrance.fr/49ca8453-e0bf-4ca0-8936-e5dbc66868ea,"['', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '']",,https://dcbrain.com/,"['#Big Data', '#data', '#transport', '#réseau', '#flows', '#flux', '#model']",
INNERSENSE,Innersense est l’expert français des technologies 3D et réalité augmentée dédiées à l’ameublement et l’aménagement. Nos solutions d’aide à la vente sont construites pour répondre aux problématiques spécifiques de chaque acteur et nous permettre d’avoir une compréhension parfaite des besoins.,https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/374fa18d-b2a0-4cc7-bb0f-13ca63540137,"['Software', '', '', '', '', '', '', '', '', '', '', '', '']","['Software', '', '', '', '', '', '', '', '', '', '', '', '']",,,[],
KACTUS,"Kactus est une plateforme permettant aux entreprises de facilement centraliser les réservations de tous leurs événements professionnels (réunions, conférences, séminaires, soirées...) directement en ligne et sans aucun frais d'agence.

#marketplace #software",https://upload.prd.hbd.cloud.bpifrance.fr/6a830e55-776d-46b4-8850-d570326e3241.jpg,"['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']",,,"['#espace', '#manager', '#entreprises', '#hôtel', '#assis', '#séminaire', '#passe', '#journée', '#plus', '#dès', '#déjeuner', '#devis', '#tarifs', '#avis', '#partir', '#équipe', '#kactus', '#réunion', '#les', '#lieu']",
Botify,"Suite d’outils dédiée à l’automatisation et à la simplification des activités d’optimisation du SEO des sites web, pour en augmenter leur trafic organique, social et mobile. Ils permettent d’analyser en profondeur chaque site web, d’unifier l’ensemble des",https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/4fa29f12-76b2-42b3-8645-dcbdf0d2ecb4,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",,https://www.botify.com/,"['#SEO', '#SaaS', '#Software', '#data', '#solutions', '#book', '#demo', '#botify', '#seo']",
iAdvize,"iAdvize est une plateforme de marketing conversationnel qui permet aux entreprises d’engager leurs clients et prospects en ligne, qu’ils soient sur un site ou des applications, depuis un seul et même outil messaging (chat, voice, video). Les visiteurs son",https://upload.prd.hbd.cloud.bpifrance.fr/69aa90ce-9c55-4fa8-ad2a-6545aa59b676,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",,https://www.iadvize.com/fr/,"['#E-Commerce', '#Marketing', '#Social Media', '#Advertising', '#Telecommunications', '#sas', '#conversations']",
AKIO,"AKIO figure parmi les principaux éditeurs de logiciels en Europe avec plus de 4000 utilisateurs partout dans le monde. Sa plateforme Akio.cx est destinée aux centres d’appels et au service client. C’est le seul logiciel omnicanal natif du marché, un atout reconnu par Gartner comme essentiel pour améliorer la satisfaction et la connaissance client. AKIO propose également des logiciels pour l'analyse des conversations et la réputation, ainsi que pour la collaboration dans l'entreprise.",https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/53603621-bc64-4853-a57b-e9b64d44e9a7,"['Marketing / Communication', 'Martech /Adtech /Salestech', '', '', '', '', '', '', '']","['Marketing / Communication', 'Martech /Adtech /Salestech', '', '', '', '', '', '', '']",,,[],
QEMOTION,"Q°emotion aide les entreprises à identifier les émotions ressenties par leurs clients à travers l'analyse des feedback écrits (email, verbatim d'enquêtes, réseaux sociaux...), parmi les 6 émotions primaires / universelles : joie, surprise, peur, tristesse.
Notre solution permet d'améliorer l'expérience et la relation client en priorisant les actions à mener, en détectant des insights clients, en identifiant des facteurs d'attrition et en priorisant les messages entrants.

#API #bigdata #AI",https://upload.prd.hbd.cloud.bpifrance.fr/awsS3-uploads/205d23029e51b04fb8969fa88d8b798a,"['Software', '', '', '', '', '', '', '', '', '', '', '']","['Software', '', '', '', '', '', '', '', '', '', '', '']",,,[],
Contentsquare,"Contentsquare est la plateforme d’Experience Analytics permettant aux marques de créer les meilleures expériences digitales.
 Nous offrons à toutes les équipes - et pas seulement les IT ou les analystes - le pouvoir de mesurer l'impact de leurs actions sur",https://upload.prd.hbd.cloud.bpifrance.fr/5fe9a12e-4a36-4832-8415-9392646b148b,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",,https://contentsquare.com/fr/,"['#E-Commerce', '#SaaS', '#Web Design']",
Actility,"Plateforme de connectivité qui permet le déploiement, l'exploitation et le maintien de réseaux IoT publics ou privés au sein d'une infrastructure unifiée, évolutive et polyvalente. Elle intègre la technologie LoRaWAN ainsi que des réseaux radio cellulaire",https://upload.prd.hbd.cloud.bpifrance.fr/9bd54ac9-9490-431b-8537-7fe2ab0c5548.png,"['', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '']",,https://www.actility.com/,"['#Telecommunications', '#Internet of Things', '#data', '#iot']",
BRAINCUBE,"Solution de Manufacturing Intelligence & Standard mondial de l'IA au service de l'industrie. Braincube est une solution pour maximiser votre productivité

#bigdata #cyber",https://upload.prd.hbd.cloud.bpifrance.fr/4c721e8a-8eb2-48bc-b285-99db2a4acd3b.jpeg,"['', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '']",,https://braincube.com/,[],
SNIPS,"Snips est une plateforme vocale pour les objets connectés. Elle permet aux fabricants d'équipement d'ajouter une interface vocale à leurs produits qui s'exécute localement. Cela qui signifie qu'aucune donnée n'est jamais envoyée dans le cloud. C'est un concept qui garantit la confidentialité et la continuité du fonctionnement même en cas de panne d'Internet, ce qui fait de Snips la première technologie vocale à suivre les normes générales sur la protection des données.

#AI #IOT",https://upload.prd.hbd.cloud.bpifrance.fr/awsS3-assets/Startup_Logo/BkM3rdVrz.png,"['', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '']",,,"['#Software', '#Artificial Intelligence', '#Information Technology', '#Internet of Things']",
CybelAngel,"CybelAngel fournit une solution de détection de fuite de données sur le Web Visible, Deep et Dark Web, les Périphériques de stockage connectés et les noms de domaines. CybelAngel remonte des données critiques à de grandes entreprises à travers le monde dès qu'elles apparaissent en ligne, afin qu'elles puissent contrer la menace : contrats, documents confidentiels, identifiants, numéros de carte bancaires, plans de R&D, blueprint, etc.

#cybersec #AI #machinelearning",https://upload.prd.hbd.cloud.bpifrance.fr/b6f3fd07-5599-477c-884f-5268438cae13,"['', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '']",,,"['#Real Time', '#Cyber Security', '#Security', '#SaaS', '#Machine Learning', '#Artificial Intelligence']",
Phenix,"Spécialiste de la prévention du gaspillage et de la valorisation des invendus, à travers des activités de conseil aux entreprises et différents dispositifs en circuit court (don à des associations, revente aux particuliers à prix réduits, réemploi, alimen",https://upload.prd.hbd.cloud.bpifrance.fr/47c893e1-29bb-4d58-af95-6909332d139e,"['', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '']",,https://www.wearephenix.com/,[],
Deepomatic,"Deepomatic’s software enables businesses to automate their visual processes through image recognition. Our products allow operational business managers to build custom AI applications and operate them at scale, within 3 months and without coding skills. Compass Group created an AmazonGo-like smart checkout system reducing lines to 10sec per customer, improving guests experience. Bouygues Telecom automates optical fibre installations quality control for all their subcontractors.",https://upload.prd.hbd.cloud.bpifrance.fr/4e6b6794-0da1-40c0-9454-ebfbd64d343d.png,"['', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '']",,,"['#Machine Learning', '#Computer Vision', '#Image Recognition']",
Ask Mona,"Solution chatbot destinée aux institutions culturelles, offices de tourisme et collectivités territoriales, leur permettant de répondre aux questions fréquentes des visiteurs ou de proposer une expérience de visite interactive.",https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/8045533c-986a-43e4-9d02-74c2e553f11d,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",,https://studio.askmona.fr/,[],
MY-SERIOUS-GAME,"My-Serious-Game est le savant mélange entre pédagogie et innovation technologique, au service des formations professionnelles digitales. 

Leader français du Digital Learning sur-mesure, My-Serious-Game a été choisi par l’AFNOR en 2020 pour construire la première certification « d’ingénierie de formation digitale ».",https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/488edf15-d30e-481e-a2dc-b0c15ecaa53b,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",,,[],
eLamp,"La solution eLamp permet d'être plus performant dans son Staffing projet, ses Décisions RH (Mobilité interne, Parcours de Carrières, Workforce Planning) et dans la gestion de ses Certifications / Habilitations.

Pour ce faire, la technologie eLamp centralise en temps réel l’ensemble de la connaissance de vos collaborateurs !",https://upload.prd.hbd.cloud.bpifrance.fr/awsS3-uploads/20dd6936b80c8ec453a6fb24d029cef7,"['Software', '', '', '', '', '', '', '']","['Software', '', '', '', '', '', '', '']",,,[],
ORTHODIDACTE,"Grâce à ses outils numériques novateurs autour de la langue française, Orthodidacte permet à chacun d'améliorer ses écrits professionnels.

#ecommerce #software",https://upload.prd.hbd.cloud.bpifrance.fr/awsS3-uploads/e33ba0e5d4bd56b065794b4acc2d9878,"['', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '']",,https://www.orthodidacte.com/,[],
NEOTYS,"NeoLoad, solution de test en charge automatisée pour valider en continu la performance de vos applications et de vos APIs.

#API #software",https://upload.prd.hbd.cloud.bpifrance.fr/awsS3-assets/Startup_Logo/SJ-Vicu8f.jpg%3Foh%3D0317cbde71fd368d4954d3490b90a36b%26oe%3D5ADB1C04,"['Software', 'Transport / Logistique', '', '', '', '', '', '', '', '', '', '', '']","['Software', 'Transport / Logistique', '', '', '', '', '', '', '', '', '', '', '']",,http://www.neotys.com/,"['#Health Care', '#Software']",
ASYSTOM,Asystom est une startup spécialisée dans le développement de solutions associant capteurs et intelligence embarquée pour prévenir les pannes d’équipements industriels. Le produit que nous avons conçu est capable de prendre l'empreinte « digitale » de fonctionnement d'une machine pour en prédire le dysfonctionnement.,https://upload.prd.hbd.cloud.bpifrance.fr/6a01d5cb-bfb7-4595-ab1b-4d9879e949ff,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",,https://www.asystom.com/fr/accueil/,[],
DAVI,"DAVI transforme la relation digitale en relation humaine en mettant à disposition sa plateforme d’IA RETORIK, dédiée à la création d’agents conversationnels (chatbots) plus humains et plus efficaces.

#AI #sofware",https://upload.prd.hbd.cloud.bpifrance.fr/awsS3-uploads/78ccbe0587b779567e3787dafc613d23,"['Conception / R&D', 'Deeptech', 'IA / Big Data', 'Smart Industry', 'Technologie 3D', '', '', '', '', '', '', '', '']","['Conception / R&D', 'Deeptech', 'IA / Big Data', 'Smart Industry', 'Technologie 3D', '', '', '', '', '', '', '', '']",,http://www.davi.ai/,[],
TipToe,"Marque d’ameublement modulable (étagères, tables, tabourets, etc.)",https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/9ac09d6f-a6d1-499b-b1ca-21d897a55b7c,"['Physique / Hardware', 'Environnement / Écologie', 'Retail / E-Commerce', '', '', '', '', '', '', '', '', '', '', '', '']","['Physique / Hardware', 'Environnement / Écologie', 'Retail / E-Commerce', '', '', '', '', '', '', '', '', '', '', '', '']",,https://www.tiptoe.fr/,[],
Intercloud,"Plateforme de connectivité axée cloud
 
 La société compte en 2022 une centaine de salariés et un CA de 20 M€ (objectif de 100M€ en 2025). Mais elle est en passe de devenir l'allié incontournable des grandes entreprises dans leur migration vers le cloud. La",https://upload.prd.hbd.cloud.bpifrance.fr/412831cb-7f29-450f-9fb2-4dd8f5a53fb0,"['', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '']",,https://intercloud.com/,"['#Web Hosting', '#delivery', '#platform', '#network', '#cloud']",
GitGuardian,"Protection de fuites de données à partir analyse code source
 
 La startup est capable d'identifier les failles dans le code source permettant d'accéder à des clés API, de noms d'utilisateurs, des mots de passe ou des certificats de sécurité. Un problème po",https://upload.prd.hbd.cloud.bpifrance.fr/6a21a904-f726-4a00-8789-3dbd8bd41693,"['', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '']",,https://www.gitguardian.com/,[],
Moulinot Compost & Biogaz,Company specializing in food waste,https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/25389e7d-2bd1-4e66-bb2e-04c346ad8a18,"['Energie / Utilities', 'B2B', 'B2C', 'Île-De-France', 'Paris', '', '']","['Energie / Utilities', 'B2B', 'B2C', 'Île-De-France', 'Paris', '', '']",,,[],
BeeBryte,"BeeBryte uses AI and IoT to help commercial buildings and factories consume electricity in a smarter, more efficient and cheaper way while reducing carbon footprint.

BeeBryte has developed a patented energy optimization solution that predictively drives existing heating, cooling and refrigeration
systems (HVAC-R) to generate up to 40 % savings. We offer an additional layer of intelligence that makes the HVAC-R system predictive and adaptive, unlike traditional reactive regulation.",https://upload.prd.hbd.cloud.bpifrance.fr/fb541b4d-9fe5-4a49-a305-659e051b2b16,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",,https://www.beebryte.com/,[],
EASYRECRUE,"EASYRECRUE a pour mission de rendre unique l’expérience candidat et collaborateur tout en libérant les équipes RH des activités à faible valeur ajoutée. Notre plateforme de Talent Experience permet d’optimiser les processus de recrutement et de gestion des compétences : chatbot, entretiens vidéo différés et live, présélection avec IA, tests linguistiques et gestion de carrière. Plus de 450 clients, parmi lesquels LVMH, Prosegur, UPS ou Sanofi utilisent la plateforme EASYRECRUE au quotidien.",https://upload.prd.hbd.cloud.bpifrance.fr/afc0768b-9359-4628-a4ee-73ecae7e350e.png,"['', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '']",,,"['#Recruiting', '#Video', '#Professional Services']",
EVERMAPS,"Nos produits et services permettent aux enseignes d'optimiser la visibilité et l'attractivité de leur réseau de points de vente sur le web.
Nous mettons à disposition une plateforme technologique au profit des responsables marketing mais aussi responsables locaux (directeur d'agences, magasins etc...), permettant d'administrer ses données locales (adresse, horaires, photos, promos, services...) et de piloter sa performance marketing sur le web (analytics, e-reputation).",https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/18d5d65e-add8-4f45-8cbc-8899200b9226,"['Marketing / Communication', 'Vente / Service Client', '', '', '', '', '', '']","['Marketing / Communication', 'Vente / Service Client', '', '', '', '', '', '']",,https://www.evermaps.com/,[],
DATA IMPACT,Data Impact is a global analytics platform for FMCG brands. Our clients make strategic decisions and optimize execution based on our e-store data and AI algorithms. We give intelligence to omnichannel data,https://upload.prd.hbd.cloud.bpifrance.fr/c0eceff4-c0d6-4c4b-9d79-bfbc981c1bf4,"['Physique / Hardware', 'Software', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['Physique / Hardware', 'Software', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",,https://dataimpact.io/,[],
