nom,description,logo,Date dernier financement,Série,LinkedIn,Type d'organisme,SIREN,Activité principale,market,valeur_entreprise,mots_cles_def,Effectif_def,site_web_def,adresse_def,date_creation_def,Nom,Prenom,Poste,Montant_def
360player.io (sixième étage sas),We make 360° pics easy to capture and display,https://storage.googleapis.com/dealroom-images-production/6e/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wMS9mZGRjM2Y2NzBhOTk4MmUwMjE2OGVmNTc2YmNmYjJkYQ==.png,,,,,Non disponible,,B2C,€720k—1m,"advertising, big data, saas",3 à 5 salariés,,"Paris, France",,,,,340000.0
3d celo,,https://storage.googleapis.com/dealroom-images-production/17/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyMy8wMS8xOC8yMTcwNzdlYmE4NWIxNzExOGU2MmMyMDg4ZWViNDBlZQ==.png,,,,,Non disponible,,,,"3d technology, commission, deep tech, education, manufacturing",20 à 49 salariés,,"Saint-Denis, France",,,,,
3d storm,Distributor of newtek and livexpert products,https://storage.googleapis.com/dealroom-images-production/bf/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyMy8wMS8yMi9mNTdmMzVhMTZhMGY2MjFmODdiMGY3OWFjMjkzMTJhMQ==.png,,,,,Non disponible,,B2C,,"3d technology, content production, media, subscription",20 à 49 salariés,,"Saint-Médard-en-Jalles, France",,,,,
3dcreation.fr,Agence de réalité virtuelle et réalité augmentée spécialisée dans les technologies immersives et interactives,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_3d_3.jpg,,,,,Non disponible,,,,3d,,https://3dcreation.fr/?utm_source=LesPepitesTech.com,Lyon,,,,,
4.5.6 skin,Customised skincare focused on all melanin skin,https://storage.googleapis.com/dealroom-images-production/8b/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wNy8zZmUzZThiNmUzNmYxNWNhNDkxNGRkMDc1OGVmMWU2ZQ==.png,,,,,Non disponible,,B2C,€3—4m,"manufacturing, selling own inventory, wellness beauty",20 à 49 salariés,,"Gellainville, France",2019-01-01,,,,700000.0
4cad group,"Spécialiste de l'interconnexion des systèmes d'information industriels, intégrateur-conseil solutions CAO, PLM, Simulation, ERP, CRM & IoT",https://storage.googleapis.com/dealroom-images-production/0f/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyMy8wMS8yNi9lMTYyMmM2NTgzNzY4ZWMyNTFhYzdiNDRhYTJlNmYzNw==.png,,,,,Non disponible,,B2B,,"artificial intelligence, augmented reality, big data, connected device, enterprise software, iot internetofthings, saas",200 à 499 salariés,,"Bouguenais, France",2004-01-01,,,,
4d pioneers,Using hybrid manufacturing of high performance materials to create a more responsible future for industries,https://storage.googleapis.com/dealroom-images-production/61/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8zMC9kNjZiNWI3OWVmMmI3MWRhZjA2MzY5MjBhNjhjZTIwNA==.png,,,,,Non disponible,,B2B,,"deep tech, engineering and manufacturing equipment, manufacturing, selling own inventory",20 à 49 salariés,,"Villeneuve-d'Ascq, France",2020-01-01,,,,
4gmark,A tool offering a comprehensive benchmark of the connection quality of service on Smartphones,https://storage.googleapis.com/dealroom-images-production/d4/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyMy8wMS8xOC80MGEyNGM1ZmFiYTZhNGUwMGFkMzRiYTY1M2MwZGVkZg==.png,,,,,Non disponible,,,,telecom,1 ou 2 salariés,,"Paris, France",,,,,
4ground family,Household management from your phone,https://storage.googleapis.com/dealroom-images-production/36/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyMy8wMi8wMy8xZWU5OTMxYTFiYzM2NWY4OTQ5YmVkOWE5MzkwYTcxMg==.png,,,,,Non disponible,,B2C,,,500 à 999 salariés,,"Paris, France",2013-01-01,,,,
5 m ventures,5M Ventures – Le leader du Media for Equity en France,https://storage.googleapis.com/dealroom-images-production/f6/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wNC85YTRjOTcwMGUyNzU3YWU5MGQwZmZmMDExOTM2NjRjNA==.png,,,,,Non disponible,,,,"fintech, wealth management",3 à 5 salariés,,"Paris, France",,,,,500000.0
50intech,We creates the match between women in tech and inclusives companies,https://storage.googleapis.com/dealroom-images-production/72/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wNy9jOTVhYzAwNTkwMGQ5Mjc1Zjk4MzU0MjAzNTA5MzE2Mw==.png,,,,,Non disponible,,B2B,€6—9m,"jobs recruitment, mobile app, saas, subscription",20 à 49 salariés,,"Paris, France",,,,,1900000.0
52 hertz,"52 Hertz develops Talky-Divy, the first voice communication device for divers that adapts to standard equipment",https://storage.googleapis.com/dealroom-images-production/86/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8yNy8yMzIxZWY0ZDcyOTEzODJjZDFmMjE1MTZhZDMxNmYzNg==.png,,,,,Non disponible,,B2B,€3—5m,"b2c, deep tech, hardware, manufacturing, selling own inventory, sports",3 à 5 salariés,,"Plouzané, France",2019-01-01,,,,800000.0
570easi,Islamic finance company that specializes in wealth and equity solutions,https://storage.googleapis.com/dealroom-images-production/5a/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyMy8wMS8yMi9iMzgzZDdhMjJmNGIzNmMyN2IwMjYxOTIyMGM5OGVhNQ==.png,,,,,Non disponible,,B2B,,"b2c, fintech, insurance, marketplace & ecommerce, saas, subscription, wealth management",20 à 49 salariés,,"Paris, France",,,,,
58 facettes,The first marketplace for jewelers and designers,https://storage.googleapis.com/dealroom-images-production/b5/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8yNS85N2ZhMzUwMWJjNDIwYjc4YTYwYmU0YTU3MGJhMjU2MA==.png,,,,,Non disponible,,B2B,€8—12m,"accessories, b2c, commission, fashion, luxury, marketplace & ecommerce",20 à 49 salariés,,"Paris, France",,,,,2000000.0
5euros.com,Collaborative marketplace for microservices,https://storage.googleapis.com/dealroom-images-production/0b/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyMy8wMS8xNy85ZjRjNjY4NjhiNjE4NjdkOGI4M2YxOGNlZGRhZGM5Yw==.png,,,,,Non disponible,,B2B,,"enterprise software, marketplace & ecommerce, saas",500 à 999 salariés,,"Paris, France",2013-01-01,,,,
62 ruby street,Faites le premier pas vers la réalisation de votre projet !,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/fichier_1_3.png,,,,,Non disponible,,,,réalité augmentée,,https://www.62rubystreet.com/?utm_source=LesPepitesTech.com,"62 Av. Jean Giono, 04100 Manosque",,,,,
6nema.com,a place for awesome short films,https://storage.googleapis.com/dealroom-images-production/40/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAxNS8xMi8yOC9jZDg2ZWE4MWYxNDk3OTEzMWY0YmI1ZTgzZTg5MGU4Yg==.jpeg,,,,,Non disponible,,B2B,,transportation,1 ou 2 salariés,,"Paris, France",,,,,
6wind,"Enables Service Providers, Cloud and Content Providers and Enterprises to transparently evolve their networks",https://storage.googleapis.com/dealroom-images-production/a7/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wMS9hMDUyMWQzMjkzYTE5MjBjZjcwYmE1ODdjMWMzOTc5Yw==.png,,,,,Non disponible,,B2B,,"subscription, telecom",50 à 99 salariés,,"Montigny-le-Bretonneux, France",,,,,3800000.0
727sailbags,"727Sailbags, unique creations in recycled sailcloth - 727 Sailbags",https://storage.googleapis.com/dealroom-images-production/f0/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wNy9jYWY1Y2NlMDRmOWU5YWFmODk1OGJjMTE4Y2U3NzEyMA==.png,,,,,Non disponible,,,€4—6m,"fashion, home living, sustainable development goals",20 à 49 salariés,,"Lorient, France",2005-01-01,,,,1000000.0
73 strings,73 Strings | Financial Advisory Powered by Artificial Intelligence,https://storage.googleapis.com/dealroom-images-production/a3/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8yNC8wNGQ3NDk1OGY2YjJkYWUxMTlkOGNjZDIzNjc0ZDg3Ng==.png,,,,,Non disponible,,B2B,€36—55m,"artificial intelligence, big data, commission, fintech, natural language processing, saas",50 à 99 salariés,,"Neuilly-sur-Seine, France",2019-01-01,,,,9100000.0
8 in asia,Agence de voyage qui propose des aventures fondatrices en petits groupes de voyageurs solo en Asie,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/8_in_asia_logo_transparent-14.png,,,,,Non disponible,,,,catégorie non disponible,,https://8inasia.com/?utm_source=LesPepitesTech.com,"242 Boulevard Voltaire, 75011 Paris",,,,,
88jobs,Recruitment startup specializing in Chinese bilingual jobs,https://storage.googleapis.com/dealroom-images-production/7a/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wMS9jYWE4Mzk0NjJiZGJmNjllNzI4ZGE2ZGY1ODIwMmI4Yw==.png,,,,,Non disponible,,B2B,€2—2m,jobs recruitment,20 à 49 salariés,,"Paris, France",,,,,400000.0
900.care,"900.care est une marque de produits de la salle de bain à recharger. Meilleur pour vous, et la planète !, Bathroom products designed for sustainability","https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_900_square_red_4.png, https://storage.googleapis.com/dealroom-images-production/71/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wNy83OWM4YWMyMTFiNjYxNzdmM2YwODIwYmNiOTJjMWNhYw==.png",,,,,Non disponible,,B2C,€84—126m,"abonnement, selling own inventory, marketplace & ecommerce, home living",50 à 99 salariés,https://900.care/?utm_source=LesPepitesTech.com,"Paris, France, STATION F, Rue Eugène Freyssinet, Paris",,,,,31800000.0
99digital,Agency specialized in Amazon acquisition strategy and Search Marketing (SEO & SEA),https://storage.googleapis.com/dealroom-images-production/27/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8yOC80NjFjZGMwMjFiNDhhZWQ0MmQzZGM4Nzg2NTI2MjIxZA==.png,,,,,Non disponible,,B2B,,"marketing, subscription",20 à 49 salariés,,"Paris, France",,,,,
9feetunder.com,Plateforme 100% web pour l'organisation d'obsèques personnalisées.,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/9fu_-_logo_-_rose_01.png,,,,,Non disponible,,,,funéraire,,http://www.9feetunder.com/?utm_source=LesPepitesTech.com,Saint-André-de-Corcy,,,,,
a little market,,https://storage.googleapis.com/dealroom-images-production/89/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wNy83ZmI2MjZmMzM5Y2VkNmE3NzAyNmE2MGQ4NTdhZGJiMg==.png,,,,,Non disponible,,B2C,,fashion,3 à 5 salariés,,"Paris, France",,,,,1800000.0
a world for us,A World For Us methodically reinvents the sector's digital tools to enable all stakeholders to succeed in their transformation,https://storage.googleapis.com/dealroom-images-production/b2/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyMy8xMC8wNS84ZjUyZDhhY2I5NTJlZDdkMmJkM2RmNjEwYjVkM2Y2Mg==.png,,,,,Non disponible,,B2B,,"commission, education, enterprise software, learning tools and resources, saas",3 à 5 salariés,,"Paris, France",2009-01-01,,,,
a.m.a selections,Europe’s premier luxury vacation rental company,https://storage.googleapis.com/dealroom-images-production/04/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wNy84MjI3MTIwNTFkOTY0ZWJjOTMwZWJmMmMwZmMxNzAzMw==.png,,,,,Non disponible,,B2C,€6—9m,"accommodation, booking & search, commission, marketplace & ecommerce, travel",3 à 5 salariés,,"Cannes, France",,,,,2000000.0
ab science,Pharmaceutical company specializing in drugs use tyrosine kinase inhibitors,https://storage.googleapis.com/dealroom-images-production/18/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAxOS8wOC8xMy9iZjc5ODk0NDZiMzdlOTgyYWU3YjExZDE4Y2UyNTFkMA==.png,,,,,Non disponible,,B2B,€119m,"health, manufacturing",50 à 99 salariés,,"Paris, France",2001-01-01,,,,
abc transfer,Industrial designer and manufacturer of secure Rapid Transfer Systems (RTS) for the biopharmaceutical industry,https://storage.googleapis.com/dealroom-images-production/0e/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wNy8xY2IxMTJlYjE3MmRmMTBhY2MzNGMzNzllMWQ2MDk3Zg==.png,,,,,Non disponible,,B2B,€12—18m,"deep tech, health",20 à 49 salariés,,"Chambray-lès-Tours, France",,,,,4000000.0
abf décisions,"Consulting and engineering company in public financing, recognized for its expertise and the quality of its teams",https://storage.googleapis.com/dealroom-images-production/2c/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNC8xMi8yOC8yN2FkZTM5NmQ4NmU0YWZkNTRkNDBiYzQwMDU2Mzk2ZA==.png,,,,,Non disponible,,B2B,€8—12m,saas,50 à 99 salariés,,"Tours, France",2004-01-01,,,,2000000.0
abington advisory,Business consulting company founded in 2013 by six partners with more than 20 years of professional experience,https://storage.googleapis.com/dealroom-images-production/22/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAxOS8wMi8xOS9jNzBkNDA1NmE4YTJkZDlmMmI5OGM4NWY0YjJmNDU5Mw==.png,,,,,Non disponible,,B2B,,,50 à 99 salariés,,"Paris, France",2013-01-01,,,,
abm pharma,Provides products and services for the care of patients at home,https://storage.googleapis.com/dealroom-images-production/ac/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wNC8xYTIyMDA1NGM1YTAxOTdmNWUzYTViYWZjM2JjNDE0ZQ==.png,,,,,Non disponible,,B2B,,"health, manufacturing, medical devices, pharmaceutical",50 à 99 salariés,,"Vénissieux, France",,,,,15400000.0
abolis biotechnologies,"Designs, Builds and Secure novel bio-processes for renewable chemical production with the help of engineered microbes",https://storage.googleapis.com/dealroom-images-production/6c/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wNy8yMWMyMTcwNWFiYWYwMDBhZmM0MjlmMjE3YzU3NmU4Mg==.png,,,,,Non disponible,,B2B,€140—210m,"chemicals, commission, deep tech, hardware, manufacturing",20 à 49 salariés,,"Évry-Courcouronnes, France",,,,,36100000.0
abomey labs,"A global player and the leading European cloud provider operating 400,000 servers within over 30 data centers across 4 continents",https://storage.googleapis.com/dealroom-images-production/e3/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8yNS85MjFjYzQ5M2FkNWQyMmZhZjJkY2MwOGM1NmIxZDAwNA==.png,,,,,Non disponible,,B2B,,"cloud & infrastructure, commission, saas, security",1 ou 2 salariés,,"Paris, France",2019-01-01,,,,
absolut sensing,"Developing space observation technologies to monitor, understand, and predict changes on our planet",https://storage.googleapis.com/dealroom-images-production/e5/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8zMC80ZmJhZDg5NjEzYjAzMDJjNDNjM2YzNjY5ZGZjZTUzNg==.png,,,,,Non disponible,,B2B,,"big data, commission, deep tech, manufacturing, space",20 à 49 salariés,,"Toulouse, France",2021-01-01,,,,
absolute labs,Web3 CRM platform for managing wallet-based relationships,https://storage.googleapis.com/dealroom-images-production/9a/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8yNi81M2MwMjQyYTc2MWQ0YzMzMjA4YmYxNzBmZmViODJhYg==.png,,,,,Non disponible,,B2B,€29—44m,"blockchain, crm & sales, marketing, saas, subscription",20 à 49 salariés,,"Paris, France",2021-01-01,,,,7300000.0
abundant earth,Restaurer la biodiversité pour protéger notre planète,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/ab_.png,,,,,Non disponible,,,,environnement,,https://abundant.earth/?utm_source=LesPepitesTech.com,"STATION F, Parvis Alan Turing, Paris",,,,,
abys medical,Surgiverse: the #1 surgical decision-making tool from the metaverse to be FDA-cleared,https://storage.googleapis.com/dealroom-images-production/bd/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wNy84MjBmNDg0YThmYWU2MzY1NDIzNjRiMDRmZTE2OWMyYQ==.png,,,,,Non disponible,,B2B,€12—18m,"deep tech, engineering and manufacturing equipment, health, manufacturing, medical devices, saas, subscription",20 à 49 salariés,,"La Rochelle, France",,,,,3000000.0
